code_id,count,frequency,is_active,rank
7117,1000,7.8125e-05,1,606
11296,1000,7.8125e-05,1,612
12242,1000,7.8125e-05,1,609
2922,1000,7.8125e-05,1,614
12728,999,7.8046875e-05,1,617
5679,999,7.8046875e-05,1,620
7565,999,7.8046875e-05,1,621
14268,999,7.8046875e-05,1,626
12940,999,7.8046875e-05,1,622
5387,999,7.8046875e-05,1,623
1658,999,7.8046875e-05,1,624
9092,999,7.8046875e-05,1,618
1725,999,7.8046875e-05,1,619
5145,999,7.8046875e-05,1,625
4669,998,7.796875e-05,1,636
394,998,7.796875e-05,1,631
992,998,7.796875e-05,1,629
2191,998,7.796875e-05,1,630
7178,998,7.796875e-05,1,628
15720,998,7.796875e-05,1,633
12231,998,7.796875e-05,1,627
13202,998,7.796875e-05,1,634
12012,998,7.796875e-05,1,632
247,998,7.796875e-05,1,635
4114,997,7.7890625e-05,1,645
168,997,7.7890625e-05,1,638
287,997,7.7890625e-05,1,639
14142,997,7.7890625e-05,1,641
8814,997,7.7890625e-05,1,642
3304,997,7.7890625e-05,1,644
15125,997,7.7890625e-05,1,640
10060,997,7.7890625e-05,1,637
28,997,7.7890625e-05,1,646
8476,997,7.7890625e-05,1,643
5848,996,7.78125e-05,1,651
5705,996,7.78125e-05,1,647
14773,996,7.78125e-05,1,652
10338,996,7.78125e-05,1,648
5383,996,7.78125e-05,1,649
1882,996,7.78125e-05,1,650
14292,996,7.78125e-05,1,653
6748,995,7.7734375e-05,1,654
8206,995,7.7734375e-05,1,657
11189,995,7.7734375e-05,1,658
9393,995,7.7734375e-05,1,660
3898,995,7.7734375e-05,1,655
8908,995,7.7734375e-05,1,661
1389,995,7.7734375e-05,1,656
7620,995,7.7734375e-05,1,659
6211,994,7.765625e-05,1,662
7657,994,7.765625e-05,1,666
2854,994,7.765625e-05,1,664
8439,994,7.765625e-05,1,668
7578,994,7.765625e-05,1,667
15666,994,7.765625e-05,1,669
371,994,7.765625e-05,1,663
12920,994,7.765625e-05,1,665
1413,994,7.765625e-05,1,670
9628,993,7.7578125e-05,1,676
1270,993,7.7578125e-05,1,671
12962,993,7.7578125e-05,1,674
6843,993,7.7578125e-05,1,675
5729,993,7.7578125e-05,1,672
2189,993,7.7578125e-05,1,673
13351,992,7.75e-05,1,681
11387,992,7.75e-05,1,685
9273,992,7.75e-05,1,677
10325,992,7.75e-05,1,679
5519,992,7.75e-05,1,683
8305,992,7.75e-05,1,678
4615,992,7.75e-05,1,680
8769,992,7.75e-05,1,682
15038,992,7.75e-05,1,684
11010,991,7.7421875e-05,1,690
8081,991,7.7421875e-05,1,692
11267,991,7.7421875e-05,1,687
8461,991,7.7421875e-05,1,691
4225,991,7.7421875e-05,1,689
5518,991,7.7421875e-05,1,686
11188,991,7.7421875e-05,1,688
1609,990,7.734375e-05,1,696
8764,990,7.734375e-05,1,695
3455,990,7.734375e-05,1,699
4485,990,7.734375e-05,1,697
10366,990,7.734375e-05,1,693
5718,990,7.734375e-05,1,698
9235,990,7.734375e-05,1,700
3240,990,7.734375e-05,1,694
9231,989,7.7265625e-05,1,701
12873,989,7.7265625e-05,1,704
133,989,7.7265625e-05,1,703
525,989,7.7265625e-05,1,702
8217,989,7.7265625e-05,1,705
6391,988,7.71875e-05,1,709
898,988,7.71875e-05,1,707
16078,988,7.71875e-05,1,708
7388,988,7.71875e-05,1,710
5719,988,7.71875e-05,1,706
2891,987,7.7109375e-05,1,711
15341,987,7.7109375e-05,1,717
3660,987,7.7109375e-05,1,715
11983,987,7.7109375e-05,1,718
5754,987,7.7109375e-05,1,716
2216,987,7.7109375e-05,1,714
7175,987,7.7109375e-05,1,712
13480,987,7.7109375e-05,1,713
9976,986,7.703125e-05,1,721
5142,986,7.703125e-05,1,720
14885,986,7.703125e-05,1,723
6833,986,7.703125e-05,1,719
2957,986,7.703125e-05,1,724
7368,986,7.703125e-05,1,725
7447,986,7.703125e-05,1,722
8960,985,7.6953125e-05,1,731
1505,985,7.6953125e-05,1,726
10948,985,7.6953125e-05,1,727
801,985,7.6953125e-05,1,730
455,985,7.6953125e-05,1,729
13336,985,7.6953125e-05,1,728
3758,984,7.6875e-05,1,739
7966,984,7.6875e-05,1,733
11169,984,7.6875e-05,1,736
1099,984,7.6875e-05,1,735
5013,984,7.6875e-05,1,734
7107,984,7.6875e-05,1,737
4832,984,7.6875e-05,1,740
11754,984,7.6875e-05,1,738
13094,984,7.6875e-05,1,732
1242,983,7.6796875e-05,1,745
12987,983,7.6796875e-05,1,742
4760,983,7.6796875e-05,1,741
6419,983,7.6796875e-05,1,744
7921,983,7.6796875e-05,1,746
359,983,7.6796875e-05,1,743
