model,sample_id,level,sigma,token_flip_frac
vqgan,n01514668/ILSVRC2012_val_00009663,mid,0.2,0.921875
vqgan,n01514668/ILSVRC2012_val_00009663,high,0.5,0.9765625
vqgan,n01514668/ILSVRC2012_val_00019101,low,0.1,0.703125
vqgan,n01514668/ILSVRC2012_val_00019101,mid,0.2,0.875
vqgan,n01514668/ILSVRC2012_val_00019101,high,0.5,0.98046875
vqgan,n01514668/ILSVRC2012_val_00024957,low,0.1,0.8203125
vqgan,n01514668/ILSVRC2012_val_00024957,mid,0.2,0.93359375
vqgan,n01514668/ILSVRC2012_val_00024957,high,0.5,0.9921875
vqgan,n01514668/ILSVRC2012_val_00035104,low,0.1,0.69921875
vqgan,n01514668/ILSVRC2012_val_00035104,mid,0.2,0.87890625
vqgan,n01514668/ILSVRC2012_val_00035104,high,0.5,0.9765625
vqgan,n01514668/ILSVRC2012_val_00045107,low,0.1,0.78515625
vqgan,n01514668/ILSVRC2012_val_00045107,mid,0.2,0.9375
vqgan,n01514668/ILSVRC2012_val_00045107,high,0.5,0.98828125
vqgan,n01514859/ILSVRC2012_val_00001114,low,0.1,0.6171875
vqgan,n01514859/ILSVRC2012_val_00001114,mid,0.2,0.83984375
vqgan,n01514859/ILSVRC2012_val_00001114,high,0.5,0.984375
vqgan,n01514859/ILSVRC2012_val_00007729,low,0.1,0.7578125
vqgan,n01514859/ILSVRC2012_val_00007729,mid,0.2,0.91796875
vqgan,n01514859/ILSVRC2012_val_00007729,high,0.5,0.99609375
vqgan,n01514859/ILSVRC2012_val_00014879,low,0.1,0.51953125
vqgan,n01514859/ILSVRC2012_val_00014879,mid,0.2,0.7734375
vqgan,n01514859/ILSVRC2012_val_00014879,high,0.5,0.96875
vqgan,n01514859/ILSVRC2012_val_00032930,low,0.1,0.828125
vqgan,n01514859/ILSVRC2012_val_00032930,mid,0.2,0.91796875
vqgan,n01514859/ILSVRC2012_val_00032930,high,0.5,0.98046875
vqgan,n01514859/ILSVRC2012_val_00041334,low,0.1,0.87890625
vqgan,n01514859/ILSVRC2012_val_00041334,mid,0.2,0.953125
vqgan,n01514859/ILSVRC2012_val_00041334,high,0.5,0.984375
vqgan,n01514859/ILSVRC2012_val_00047753,low,0.1,0.6953125
vqgan,n01514859/ILSVRC2012_val_00047753,mid,0.2,0.85546875
vqgan,n01514859/ILSVRC2012_val_00047753,high,0.5,0.96875
vqgan,n01518878/ILSVRC2012_val_00005427,low,0.1,0.73828125
